14:10:36 time x y voltage current 
14:10:37 time x y voltage current 
14:10:38 time x y voltage current 
14:10:39 time x y voltage current 
14:10:40 time x y voltage current 
14:10:41 time x y voltage current 
14:10:42 time x y voltage current 
14:10:43 time x y voltage current 
14:10:44 time x y voltage current 
14:10:45 time x y voltage current 
14:10:46 time x y voltage current 
14:10:47 time x y voltage current 
14:10:48 time x y voltage current 
14:16:54 106 26.6 15.11 21.33 30.35 1
14:16:55 107 6.23 76.62 68.1 52.1 1
14:16:56 108 20.52 16.29 27.42 24.72 1
14:16:57 109 5.82 0.05 51.51 77.97 1
14:16:58 110 29.3 37.46 13.66 82.3 1
14:16:59 111 42.33 42.87 87.21 42.12 1
14:17:00 112 12.8 89.8 45.11 50.63 1
14:17:01 113 5.67 39.87 85.94 94.08 1
14:17:02 114 56.8 16.22 91.84 51.27 1
14:17:03 115 31.18 42.92 9.09 92.72 1
14:17:04 116 79.96 7.3 37.55 94.79 1
14:17:05 117 55.7 16.81 2.78 15.48 1
14:17:06 118 88.92 57.17 92.81 36.41 1
14:17:07 119 72.54 69.12 32.56 61.1 1
14:17:08 120 52.17 17.3 54.44 58.4 1
14:17:09 121 93.92 22.54 10.5 99.75 1
14:17:10 122 22.6 62.01 77.71 51.91 1
14:17:11 123 99.48 91.38 34.2 41.8 1
14:17:12 124 18.51 48.86 32.43 18.08 1
14:17:13 125 34.24 21.41 83.93 47.04 1
14:17:14 126 11.21 29.04 97.67 16.88 1
14:17:15 127 32.03 15.85 94.78 7.69 1
14:17:16 128 75.48 25.18 85.34 32.28 1
14:17:17 129 68.92 83.61 10.96 57.83 1
14:17:18 130 41.4 77.17 83.55 72.59 1
14:17:19 131 20.09 92.64 65.31 0.04 1
14:17:20 132 40.78 3.76 94.25 92.95 1
14:17:21 133 99.94 2.85 94.83 55.64 1
14:17:22 134 21.06 48.69 51.34 14.98 1
14:17:23 135 19.66 97.62 71.13 92.2 1
14:17:24 136 71.23 61.85 14.73 93.84 1
14:17:25 137 23.85 92.44 45.74 23.32 1
14:17:26 138 83.81 79.95 65.13 18.05 1
14:17:27 139 66.73 3.68 53.3 85.24 1
14:17:28 140 52.55 85.73 3.32 84.58 1
14:17:29 141 1.35 49.06 65.09 12.56 1
14:17:30 142 78.11 62.76 29.45 47.02 1
14:17:31 143 1.58 98.1 92.28 77.06 1
14:17:32 144 23.28 77.61 9.34 64.69 1
14:17:33 145 54.77 92.89 37.27 74.87 1
14:17:34 146 46.37 40.42 4.85 87.15 1
14:17:35 147 44.19 99.1 80.09 65.26 1
14:17:36 148 85.52 2.57 74.91 85.46 1
14:17:37 149 47.78 31.43 80.24 19.01 1
14:17:38 150 93.28 94.97 12.84 17.13 1
14:17:39 151 5.43 69.74 41.09 25.09 1
14:17:40 152 87.41 58.59 40.46 71.22 1
14:17:41 153 67.35 12.21 17.29 34.08 1
14:17:42 154 15.9 70.59 19.32 68.45 1
14:17:43 155 38.53 5.59 89.27 39.89 1
14:17:44 156 56.32 22.65 53.03 57.9 1
14:17:45 157 54.66 54.36 52.46 32.76 1
14:17:46 158 20.74 45.3 34.96 44.03 1
14:17:47 159 17.12 81.91 79.78 63.49 1
14:17:48 160 22.32 84.63 50.63 66.51 1
14:17:49 161 22.9 44.31 8.71 77.68 1
14:17:50 162 83.73 30.72 31.76 31.5 1
14:17:51 163 37.19 45.98 52.54 22.71 1
14:17:52 164 48.56 27.45 8.16 53.99 1
14:17:53 165 62.15 12 50.52 55.43 1
14:17:54 166 6.97 63.37 72.57 94.39 1
14:17:55 167 21.95 13.03 65.6 60.49 1
14:17:56 168 18.62 54.87 0.37 73.28 1
14:17:57 169 97.19 49.26 79.09 64.54 1
14:17:58 170 9.23 52.84 6.04 26.35 1
14:17:59 171 61.47 96.38 98.62 77.38 1
14:18:00 172 66.96 17.94 45.82 23.28 1
14:18:01 173 86.21 48.67 59.03 40.08 1
14:18:02 174 65.34 36.97 8.76 59.86 1
14:18:03 175 83.88 11.97 95.17 90.71 1
14:18:04 176 69.04 93.36 32.57 80.33 1
14:18:05 177 40.59 98.86 81.19 61.34 1
14:18:06 178 8.28 43.02 95.29 63.24 1
14:18:07 179 53.45 73.83 52.05 66.53 1
14:18:08 180 44.15 16.14 5.36 67.06 1
14:18:09 181 12.64 69.12 70.54 38.43 1
14:18:10 182 60.45 14.07 44.74 97.65 1
14:18:11 183 60.06 97.28 20.35 8.61 1
14:18:12 184 95.48 61.2 6.71 81.69 1
14:18:13 185 24.72 28.52 62.61 21.91 1
14:18:14 186 9.87 65.74 21.76 75.21 1
14:18:15 187 2.7 30.53 35.07 86.59 1
14:18:16 188 42.5 30.23 77.3 11.53 1
14:18:17 189 23.58 9.86 91.87 31.87 1
14:18:18 190 52.88 87.16 95.12 6.32 1
14:18:19 191 60.98 47.16 72.86 73.63 1
14:18:20 192 77.78 41.69 86.45 39.25 1
14:18:21 193 16.27 43.4 12.05 11.74 1
14:18:22 194 4.6 18.76 93.43 14.47 1
14:18:23 195 38.07 85.07 16.62 5.02 1
14:18:24 196 84.51 15.19 89.69 87.22 1
14:18:25 197 45.72 24.75 73.8 88.23 1
14:18:26 198 54.98 51.1 99.76 78.57 1
14:18:27 199 60.96 91.63 10.43 13.84 1
14:18:28 200 78.78 5.54 20.17 39.76 1
14:18:29 201 52.71 93.03 13.38 68.98 1
14:18:30 202 36.43 25.44 80.73 41.03 1
14:18:31 203 44.21 74.16 55.5 28.71 1
14:18:32 204 89.35 45.19 15.93 35.07 1
14:18:33 205 69.94 89.74 23.29 24.92 1
14:18:34 206 40.83 23.05 3.49 1.79 1
14:18:35 207 14.68 13.93 15.63 93.47 1
14:18:36 208 19.48 35.8 33.23 72.19 1
14:18:37 209 28.83 46.62 41.17 65.26 1
14:18:38 210 72.06 21.89 6.28 16.27 1
14:18:39 211 96.05 61.79 44.99 85.4 1
14:18:40 212 6.97 60.92 20.47 76.92 1
14:18:41 213 50.65 43.76 1.84 91.49 1
14:18:42 214 66.82 5.34 93.28 81.5 1
14:18:43 215 19.27 8.9 74.97 38.75 1
14:18:44 216 44.71 8.19 10.93 73.54 1
14:18:45 217 54.81 52.11 38.79 26.87 1
14:18:46 218 74 45.08 43.14 70.05 1
14:18:47 219 6.86 88.13 55.44 13.84 1
14:18:48 220 49.05 75.91 90.77 99.71 1
14:18:49 221 19.67 92.62 91.19 86.5 1
14:18:50 222 97.96 84.47 68 17.22 1
14:18:51 223 93.38 42.96 55.98 38.08 1
14:18:52 224 51.15 66.92 11.61 5.95 1
14:18:53 225 19.02 50.41 32.83 93.02 1
14:18:54 226 95.49 75.97 63.07 2.35 1
14:18:55 227 64.1 18.5 16.2 13.14 1
14:18:56 228 94.42 6.96 12.84 14.09 1
14:18:57 229 99.59 4.03 0.58 97.54 1
14:18:58 230 88.5 68.58 14.76 81.87 1
14:18:59 231 11.54 70.74 19.94 62.69 1
14:19:00 232 37.65 31.56 68.65 56.68 1
14:19:01 233 81.97 1.47 49.69 77.46 1
14:19:02 234 77.45 12.75 79.81 41.54 1
14:19:03 235 31.26 96.02 54.68 25.68 1
14:19:04 236 35.2 26.94 40.05 37 1
14:19:05 237 92.58 17.33 74.43 3.82 1
14:19:06 238 59.82 32.55 44.48 23.31 1
14:19:07 239 71.77 0.33 48.73 87.81 1
14:19:08 240 81.27 64.35 84.59 47.31 1
14:19:09 241 20.37 50.53 64.61 32.21 1
14:19:10 242 8.93 11.7 11.92 45.14 1
14:19:11 243 99.47 45.01 61.8 34.67 1
14:19:12 244 71.96 1.85 71.67 64.53 1
14:19:13 245 19.18 46.1 68.36 79.01 1
14:19:14 246 78.66 12.83 2.31 50.42 1
14:19:15 247 13.16 51.04 38.22 94.44 1
14:19:16 248 2.97 67.52 39.77 2.56 1
14:19:17 250 8.93 14.86 41.91 20.47 1
14:19:18 251 85.6 61.86 83.17 23.25 1
14:19:19 252 93.43 51.81 79.93 75.4 1
14:19:20 253 53.29 29.62 52.85 30.73 1
14:19:21 254 42.38 32.66 72.27 73.65 1
14:19:22 255 28.67 26.94 99.33 31.65 1
14:19:23 256 94.47 39.09 34.21 66.02 1
14:19:24 257 79.45 34.31 26.06 88.38 1
14:19:25 258 49.17 67.98 8.85 34.76 1
14:19:26 259 29.84 92.02 58.02 23.26 1
14:19:27 260 43.83 37.95 98.67 97.12 1
14:19:28 261 67.57 51.51 27.84 9.95 1
14:19:29 262 84.18 0.1 83.6 12.85 1
14:19:30 263 27.05 82.92 44.5 21.52 1
14:19:31 264 22.01 78.72 87.54 1.46 1
14:19:32 265 13.02 13.59 89.84 62.19 1
14:19:33 266 81.58 98.7 96.96 11.41 1
14:19:34 267 90.71 54.98 34.68 34.53 1
14:19:35 268 92.93 33.34 31.65 60.5 1
14:19:36 269 84.85 59.5 70.45 69.03 1
14:19:37 270 59.61 54.04 81.88 86.66 1
14:19:38 271 36.96 26.37 8.17 58.98 1
14:19:39 272 38.42 3.88 8.72 86.63 1
14:19:40 273 75.67 17.52 59.86 68.58 1
14:19:41 274 85.09 85.12 81.41 98.01 1
14:19:42 275 96.52 89.57 6.97 32.5 1
14:19:43 276 28.23 28.48 92.77 11.83 1
14:19:44 277 83.41 54.33 3.71 58.29 1
14:19:45 278 62.56 2.74 3.76 38.45 1
14:19:46 279 90.38 17.88 2.03 28.8 1
14:19:47 280 21.77 10.76 15.42 97.44 1
14:19:48 281 28.29 75.29 66.02 13.37 1
14:19:49 282 60.41 47.42 11.38 56.93 1
14:19:50 283 36.99 18.35 89.44 65.22 1
14:19:51 284 46.84 82.2 77.06 30.25 1
14:19:52 285 36.52 80.78 88.54 99.08 1
14:19:53 286 83.52 92.31 37.53 73.89 1
14:19:54 287 10.18 39.56 2.69 31.95 1
14:19:55 288 50.33 18.11 29.39 78.62 1
14:19:56 289 93.41 95.41 92 53.81 1
14:19:57 290 42.82 3.37 10.73 79.82 1
14:19:58 291 21.73 0.16 45.03 68.58 1
14:19:59 292 82.36 22.08 98.83 18.88 1
14:20:00 293 2.85 87.37 17.96 86.38 1
14:20:01 294 79.67 55.49 60.27 89.85 1
14:20:02 295 95.06 62.96 21.8 45.38 1
14:20:03 296 81.08 51.19 24 74.49 1
14:20:04 297 46.6 15.99 28.29 89.42 1
